Season,Round,Circuit,Laps,NumParticipants,Driver,DriverNumber,Team,GridPosition,QualifyingPosition,Q1Time,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed,NumPitStops,PitStopLaps,TyreCompounds,ClassificationResult,Points
2022,1,Sakhir,57.0,20,LEC,16,Ferrari,1.0,1.0,91.471,25.6,17.0,1010.2,32.3,346,0.5,3,"[15, 31, 46]","['SOFT', 'SOFT', 'MEDIUM', 'SOFT']",0.0,26.0
2022,1,Sakhir,57.0,20,SAI,55,Ferrari,3.0,3.0,91.567,25.6,17.0,1010.2,32.3,346,0.5,3,"[14, 33, 44]","['SOFT', 'SOFT', 'MEDIUM', 'SOFT']",-1.0,18.0
2022,1,Sakhir,57.0,20,HAM,44,Mercedes,5.0,5.0,92.285,25.6,17.0,1010.2,32.3,346,0.5,3,"[11, 27, 44]","['SOFT', 'HARD', 'MEDIUM', 'SOFT']",-2.0,15.0
2022,1,Sakhir,57.0,20,RUS,63,Mercedes,9.0,9.0,92.269,25.6,17.0,1010.2,32.3,346,0.5,3,"[15, 33, 45]","['SOFT', 'HARD', 'MEDIUM', 'SOFT']",-5.0,12.0
2022,1,Sakhir,57.0,20,MAG,20,Haas F1 Team,7.0,7.0,91.955,25.6,17.0,1010.2,32.3,346,0.5,3,"[14, 34, 46]","['SOFT', 'SOFT', 'MEDIUM', 'SOFT']",-2.0,10.0
2022,1,Sakhir,57.0,20,BOT,77,Alfa Romeo,6.0,6.0,91.919,25.6,17.0,1010.2,32.3,346,0.5,3,"[14, 36, 45]","['SOFT', 'MEDIUM', 'MEDIUM', 'SOFT']",0.0,8.0
2022,1,Sakhir,57.0,20,OCO,31,Alpine,11.0,11.0,92.041,25.6,17.0,1010.2,32.3,346,0.5,3,"[14, 30, 43]","['SOFT', 'MEDIUM', 'HARD', 'SOFT']",-4.0,6.0
2022,1,Sakhir,57.0,20,TSU,22,AlphaTauri,16.0,16.0,92.75,25.6,17.0,1010.2,32.3,346,0.5,3,"[15, 29, 44]","['SOFT', 'MEDIUM', 'SOFT', 'SOFT']",-8.0,4.0
2022,1,Sakhir,57.0,20,ALO,14,Alpine,8.0,8.0,92.346,25.6,17.0,1010.2,32.3,346,0.5,3,"[11, 25, 42]","['SOFT', 'MEDIUM', 'HARD', 'SOFT']",1.0,2.0
2022,1,Sakhir,57.0,20,ZHO,24,Alfa Romeo,15.0,15.0,92.493,25.6,17.0,1010.2,32.3,346,0.5,3,"[15, 37, 45]","['SOFT', 'MEDIUM', 'MEDIUM', 'SOFT']",-5.0,1.0
2022,1,Sakhir,57.0,20,MSC,47,Haas F1 Team,12.0,12.0,92.38,25.6,17.0,1010.2,32.3,346,0.5,2,"[12, 35]","['SOFT', 'MEDIUM', 'SOFT']",-1.0,0.0
2022,1,Sakhir,57.0,20,STR,18,Aston Martin,19.0,19.0,93.032,25.6,17.0,1010.2,32.3,346,0.5,3,"[18, 38, 45]","['SOFT', 'SOFT', 'MEDIUM', 'SOFT']",-7.0,0.0
2022,1,Sakhir,57.0,20,ALB,23,Williams,14.0,14.0,92.726,25.6,17.0,1010.2,32.3,346,0.5,3,"[13, 35, 46]","['SOFT', 'MEDIUM', 'MEDIUM', 'SOFT']",-1.0,0.0
2022,1,Sakhir,57.0,20,RIC,3,McLaren,18.0,18.0,92.945,25.6,17.0,1010.2,32.3,346,0.5,3,"[17, 33, 44]","['MEDIUM', 'SOFT', 'HARD', 'SOFT']",-4.0,0.0
2022,1,Sakhir,57.0,20,NOR,4,McLaren,13.0,13.0,92.239,25.6,17.0,1010.2,32.3,346,0.5,3,"[24, 41, 45]","['MEDIUM', 'HARD', 'SOFT', 'SOFT']",2.0,0.0
2022,1,Sakhir,57.0,20,LAT,6,Williams,20.0,20.0,93.634,25.6,17.0,1010.2,32.3,346,0.5,3,"[14, 32, 45]","['SOFT', 'SOFT', 'MEDIUM', 'SOFT']",-4.0,0.0
2022,1,Sakhir,57.0,20,HUL,27,Aston Martin,17.0,17.0,92.777,25.6,17.0,1010.2,32.3,346,0.5,3,"[19, 37, 44]","['SOFT', 'SOFT', 'MEDIUM', 'SOFT']",0.0,0.0
2022,1,Sakhir,57.0,20,PER,11,Red Bull Racing,4.0,4.0,92.311,25.6,17.0,1010.2,32.3,346,0.5,3,"[15, 33, 43]","['SOFT', 'MEDIUM', 'SOFT', 'SOFT']",14.0,0.0
2022,1,Sakhir,57.0,20,VER,1,Red Bull Racing,2.0,2.0,91.785,25.6,17.0,1010.2,32.3,346,0.5,3,"[14, 30, 43]","['SOFT', 'SOFT', 'MEDIUM', 'SOFT']",17.0,0.0
2022,1,Sakhir,57.0,20,GAS,10,AlphaTauri,10.0,10.0,92.096,25.6,17.0,1010.2,32.3,346,0.5,2,"[14, 32]","['SOFT', 'MEDIUM', 'HARD']",10.0,0.0
2022,2,Jeddah,50.0,20,VER,1,Red Bull Racing,4.0,4.0,88.928,25.3,64.0,1012.0,29.6,350,2.5,1,[16],"['MEDIUM', 'HARD']",-3.0,25.0
