Season,Round,Circuit,Laps,NumParticipants,Driver,DriverNumber,Team,GridPosition,QualifyingPosition,Q1Time,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed,NumPitStops,PitStopLaps,TyreCompounds,ClassificationResult,Points
2021,1,Sakhir,57.0,20,HAM,44,Mercedes,2.0,2.0,90.617,20.9,56.4,1014.8,29.9,6,1.0,2,"[13, 28]","['MEDIUM', 'HARD', 'HARD']",-1.0,25.0
2021,1,Sakhir,57.0,20,VER,33,Red Bull Racing,1.0,1.0,90.499,20.9,56.4,1014.8,29.9,6,1.0,2,"[17, 39]","['MEDIUM', 'MEDIUM', 'HARD']",1.0,18.0
2021,1,Sakhir,57.0,20,BOT,77,Mercedes,3.0,3.0,91.2,20.9,56.4,1014.8,29.9,6,1.0,3,"[16, 30, 54]","['MEDIUM', 'HARD', 'HARD', 'MEDIUM']",0.0,16.0
2021,1,Sakhir,57.0,20,NOR,4,McLaren,7.0,7.0,90.902,20.9,56.4,1014.8,29.9,6,1.0,2,"[12, 33]","['SOFT', 'MEDIUM', 'HARD']",-3.0,12.0
2021,1,Sakhir,57.0,20,PER,11,Red Bull Racing,0.0,11.0,91.165,20.9,56.4,1014.8,29.9,6,1.0,3,"[2, 19, 38]","['MEDIUM', 'HARD', 'MEDIUM']",5.0,10.0
2021,1,Sakhir,57.0,20,LEC,16,Ferrari,4.0,4.0,90.691,20.9,56.4,1014.8,29.9,6,1.0,2,"[12, 32]","['SOFT', 'MEDIUM', 'HARD']",2.0,8.0
2021,1,Sakhir,57.0,20,RIC,3,McLaren,6.0,6.0,90.795,20.9,56.4,1014.8,29.9,6,1.0,2,"[13, 32]","['SOFT', 'MEDIUM', 'HARD']",1.0,6.0
2021,1,Sakhir,57.0,20,SAI,55,Ferrari,8.0,8.0,91.653,20.9,56.4,1014.8,29.9,6,1.0,2,"[15, 37]","['SOFT', 'MEDIUM', 'HARD']",0.0,4.0
2021,1,Sakhir,57.0,20,TSU,22,AlphaTauri,13.0,13.0,90.607,20.9,56.4,1014.8,29.9,6,1.0,2,"[15, 33]","['MEDIUM', 'HARD', 'HARD']",-4.0,2.0
2021,1,Sakhir,57.0,20,STR,18,Aston Martin,10.0,10.0,91.261,20.9,56.4,1014.8,29.9,6,1.0,2,"[12, 28]","['SOFT', 'MEDIUM', 'HARD']",0.0,1.0
2021,1,Sakhir,57.0,20,RAI,7,Alfa Romeo Racing,14.0,14.0,91.547,20.9,56.4,1014.8,29.9,6,1.0,2,"[13, 29]","['MEDIUM', 'HARD', 'MEDIUM']",-3.0,0.0
2021,1,Sakhir,57.0,20,GIO,99,Alfa Romeo Racing,12.0,12.0,90.998,20.9,56.4,1014.8,29.9,6,1.0,2,"[12, 30]","['MEDIUM', 'HARD', 'MEDIUM']",0.0,0.0
2021,1,Sakhir,57.0,20,OCO,31,Alpine,16.0,16.0,91.724,20.9,56.4,1014.8,29.9,6,1.0,2,"[13, 31]","['SOFT', 'MEDIUM', 'HARD']",-3.0,0.0
2021,1,Sakhir,57.0,20,RUS,63,Williams,15.0,15.0,91.316,20.9,56.4,1014.8,29.9,6,1.0,2,"[13, 36]","['SOFT', 'MEDIUM', 'MEDIUM']",-1.0,0.0
2021,1,Sakhir,57.0,20,VET,5,Aston Martin,20.0,18.0,92.056,20.9,56.4,1014.8,29.9,6,1.0,1,[24],"['MEDIUM', 'HARD']",-5.0,0.0
2021,1,Sakhir,57.0,20,MSC,47,Haas F1 Team,18.0,19.0,92.449,20.9,56.4,1014.8,29.9,6,1.0,2,"[14, 33]","['MEDIUM', 'MEDIUM', 'HARD']",-2.0,0.0
2021,1,Sakhir,57.0,20,GAS,10,AlphaTauri,5.0,5.0,90.848,20.9,56.4,1014.8,29.9,6,1.0,3,"[4, 19, 39]","['MEDIUM', 'HARD', 'MEDIUM', 'HARD']",12.0,0.0
2021,1,Sakhir,57.0,20,LAT,6,Williams,17.0,17.0,91.936,20.9,56.4,1014.8,29.9,6,1.0,2,"[14, 32]","['SOFT', 'MEDIUM', 'MEDIUM']",1.0,0.0
2021,1,Sakhir,57.0,20,ALO,14,Alpine,9.0,9.0,90.863,20.9,56.4,1014.8,29.9,6,1.0,2,"[11, 29]","['SOFT', 'MEDIUM', 'HARD']",10.0,0.0
2021,2,Imola,63.0,20,BOT,77,Mercedes,8.0,8.0,74.672,9.8,68.7,1011.7,18.1,61,0.2,1,[28],"['INTERMEDIATE', 'MEDIUM']",10.0,0.0
2021,2,Imola,63.0,20,RUS,63,Williams,12.0,12.0,75.826,9.8,68.7,1011.7,18.1,61,0.2,1,[26],"['INTERMEDIATE', 'MEDIUM']",7.0,0.0
2021,3,Portimão,66.0,20,HAM,44,Mercedes,2.0,2.0,78.857,19.5,38.7,1005.4,38.5,348,0.8,3,"[2, 3, 37]","['MEDIUM', 'MEDIUM', 'MEDIUM', 'HARD']",-1.0,25.0
2021,3,Portimão,66.0,20,VER,33,Red Bull Racing,3.0,3.0,79.485,19.5,38.7,1005.4,38.5,348,0.8,4,"[2, 3, 35, 64]","['MEDIUM', 'MEDIUM', 'MEDIUM', 'HARD', 'SOFT']",-1.0,18.0
2021,3,Portimão,66.0,20,BOT,77,Mercedes,1.0,1.0,78.722,19.5,38.7,1005.4,38.5,348,0.8,4,"[2, 3, 36, 63]","['MEDIUM', 'MEDIUM', 'MEDIUM', 'HARD', 'SOFT']",2.0,16.0
2021,3,Portimão,66.0,20,PER,11,Red Bull Racing,4.0,4.0,79.337,19.5,38.7,1005.4,38.5,348,0.8,3,"[2, 3, 51]","['MEDIUM', 'MEDIUM', 'MEDIUM', 'SOFT']",0.0,12.0
2021,3,Portimão,66.0,20,NOR,4,McLaren,7.0,7.0,78.794,19.5,38.7,1005.4,38.5,348,0.8,3,"[2, 3, 22]","['SOFT', 'SOFT', 'SOFT', 'MEDIUM']",-2.0,10.0
2021,3,Portimão,66.0,20,LEC,16,Ferrari,8.0,8.0,79.373,19.5,38.7,1005.4,38.5,348,0.8,3,"[2, 3, 25]","['MEDIUM', 'MEDIUM', 'MEDIUM', 'HARD']",-2.0,8.0
2021,3,Portimão,66.0,20,OCO,31,Alpine,6.0,6.0,79.092,19.5,38.7,1005.4,38.5,348,0.8,3,"[2, 3, 22]","['SOFT', 'SOFT', 'SOFT', 'HARD']",1.0,6.0
