Season,Round,Circuit,Laps,NumParticipants,Driver,DriverNumber,Team,GridPosition,QualifyingPosition,Q1Time,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed,NumPitStops,PitStopLaps,TyreCompounds,ClassificationResult,Points
2023,1,Sakhir,57.0,20,VER,1,Red Bull Racing,1.0,1.0,91.295,29.8,19.0,1016.5,35.1,176,1.2,2,"[14, 36]","['SOFT', 'SOFT', 'HARD']",0.0,25.0
2023,1,Sakhir,57.0,20,PER,11,Red Bull Racing,2.0,2.0,91.479,29.8,19.0,1016.5,35.1,176,1.2,2,"[17, 34]","['SOFT', 'SOFT', 'HARD']",0.0,18.0
2023,1,Sakhir,57.0,20,ALO,14,Aston Martin,5.0,5.0,91.158,29.8,19.0,1016.5,35.1,176,1.2,2,"[14, 34]","['SOFT', 'HARD', 'HARD']",-2.0,15.0
2023,1,Sakhir,57.0,20,SAI,55,Ferrari,4.0,4.0,90.993,29.8,19.0,1016.5,35.1,176,1.2,2,"[13, 31]","['SOFT', 'HARD', 'HARD']",0.0,12.0
2023,1,Sakhir,57.0,20,HAM,44,Mercedes,7.0,7.0,91.543,29.8,19.0,1016.5,35.1,176,1.2,2,"[12, 30]","['SOFT', 'HARD', 'HARD']",-2.0,10.0
2023,1,Sakhir,57.0,20,STR,18,Aston Martin,8.0,8.0,91.184,29.8,19.0,1016.5,35.1,176,1.2,2,"[15, 30]","['SOFT', 'HARD', 'HARD']",-2.0,8.0
2023,1,Sakhir,57.0,20,RUS,63,Mercedes,6.0,6.0,91.057,29.8,19.0,1016.5,35.1,176,1.2,2,"[13, 31]","['SOFT', 'HARD', 'HARD']",1.0,6.0
2023,1,Sakhir,57.0,20,BOT,77,Alfa Romeo,12.0,12.0,91.504,29.8,19.0,1016.5,35.1,176,1.2,2,"[11, 29]","['SOFT', 'HARD', 'HARD']",-4.0,4.0
2023,1,Sakhir,57.0,20,GAS,10,Alpine,20.0,20.0,92.181,29.8,19.0,1016.5,35.1,176,1.2,3,"[9, 25, 40]","['SOFT', 'HARD', 'HARD', 'SOFT']",-11.0,2.0
2023,1,Sakhir,57.0,20,ALB,23,Williams,15.0,15.0,91.461,29.8,19.0,1016.5,35.1,176,1.2,3,"[11, 26, 40]","['SOFT', 'SOFT', 'HARD', 'SOFT']",-5.0,1.0
2023,1,Sakhir,57.0,20,TSU,22,AlphaTauri,14.0,14.0,91.4,29.8,19.0,1016.5,35.1,176,1.2,3,"[10, 26, 40]","['SOFT', 'HARD', 'HARD', 'SOFT']",-3.0,0.0
2023,1,Sakhir,57.0,20,SAR,2,Williams,16.0,16.0,91.652,29.8,19.0,1016.5,35.1,176,1.2,3,"[12, 30, 40]","['SOFT', 'SOFT', 'HARD', 'SOFT']",-4.0,0.0
