Season,Round,Circuit,Laps,NumParticipants,Driver,DriverNumber,Team,GridPosition,QualifyingPosition,Q1Time,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed,NumPitStops,PitStopLaps,TyreCompounds,ClassificationResult,Points
2020,2,Spielberg,71.0,20,GIO,99,Alfa Romeo Racing,19.0,19.0,81.831,19.4,36.2,946.1,38.7,348,1.1,1,[39],"['MEDIUM', 'SOFT']",-5.0,0.0
2020,2,Spielberg,71.0,20,GAS,10,AlphaTauri,7.0,8.0,80.192,19.4,36.2,946.1,38.7,348,1.1,2,"[24, 49]","['SOFT', 'HARD', 'SOFT']",8.0,0.0
2020,2,Spielberg,71.0,20,RUS,63,Williams,11.0,12.0,80.382,19.4,36.2,946.1,38.7,348,1.1,1,[34],"['SOFT', 'MEDIUM']",5.0,0.0
2020,2,Spielberg,71.0,20,LAT,6,Williams,18.0,18.0,81.759,19.4,36.2,946.1,38.7,348,1.1,1,[32],"['MEDIUM', 'SOFT']",-1.0,0.0
2020,2,Spielberg,71.0,20,LEC,16,Ferrari,14.0,11.0,80.871,19.4,36.2,946.1,38.7,348,1.1,1,[1],"['SOFT', 'HARD']",5.0,0.0
2020,3,Budapest,70.0,20,HAM,44,Mercedes,1.0,1.0,74.907,20.4,79.5,986.6,26.7,114,1.5,3,"[3, 37, 66]","['INTERMEDIATE', 'MEDIUM', 'MEDIUM', 'SOFT']",0.0,26.0
2020,3,Budapest,70.0,20,VER,33,Red Bull Racing,7.0,7.0,75.495,20.4,79.5,986.6,26.7,114,1.5,2,"[4, 36]","['INTERMEDIATE', 'MEDIUM', 'HARD']",-5.0,18.0
2020,3,Budapest,70.0,20,BOT,77,Mercedes,2.0,2.0,75.474,20.4,79.5,986.6,26.7,114,1.5,3,"[2, 33, 49]","['INTERMEDIATE', 'MEDIUM', 'MEDIUM', 'HARD']",1.0,15.0
2020,3,Budapest,70.0,20,STR,18,Racing Point,3.0,3.0,74.895,20.4,79.5,986.6,26.7,114,1.5,3,"[3, 35, 52]","['INTERMEDIATE', 'MEDIUM', 'MEDIUM', 'HARD']",1.0,12.0
2020,3,Budapest,70.0,20,ALB,23,Red Bull Racing,13.0,13.0,75.722,20.4,79.5,986.6,26.7,114,1.5,2,"[3, 34]","['INTERMEDIATE', 'MEDIUM', 'HARD']",-8.0,10.0
2020,3,Budapest,70.0,20,VET,5,Ferrari,5.0,5.0,75.455,20.4,79.5,986.6,26.7,114,1.5,2,"[3, 29]","['INTERMEDIATE', 'MEDIUM', 'HARD']",1.0,8.0
2020,3,Budapest,70.0,20,PER,11,Racing Point,4.0,4.0,74.681,20.4,79.5,986.6,26.7,114,1.5,2,"[3, 35]","['INTERMEDIATE', 'MEDIUM', 'HARD']",3.0,6.0
2020,3,Budapest,70.0,20,RIC,3,Renault,11.0,11.0,75.848,20.4,79.5,986.6,26.7,114,1.5,2,"[4, 43]","['INTERMEDIATE', 'MEDIUM', 'MEDIUM']",-3.0,4.0
2020,3,Budapest,70.0,20,SAI,55,McLaren,9.0,9.0,75.281,20.4,79.5,986.6,26.7,114,1.5,2,"[3, 40]","['INTERMEDIATE', 'MEDIUM', 'HARD']",0.0,2.0
2020,3,Budapest,70.0,20,MAG,20,Haas F1 Team,0.0,16.0,76.152,20.4,79.5,986.6,26.7,114,1.5,1,[35],"['MEDIUM', 'HARD']",10.0,1.0
2020,3,Budapest,70.0,20,LEC,16,Ferrari,6.0,6.0,75.793,20.4,79.5,986.6,26.7,114,1.5,2,"[2, 20]","['INTERMEDIATE', 'SOFT', 'HARD']",5.0,0.0
2020,3,Budapest,70.0,20,KVY,26,AlphaTauri,17.0,17.0,76.204,20.4,79.5,986.6,26.7,114,1.5,2,"[1, 18]","['INTERMEDIATE', 'SOFT', 'HARD']",-5.0,0.0
2020,3,Budapest,70.0,20,NOR,4,McLaren,8.0,8.0,75.444,20.4,79.5,986.6,26.7,114,1.5,2,"[4, 35]","['INTERMEDIATE', 'MEDIUM', 'HARD']",5.0,0.0
2020,3,Budapest,70.0,20,OCO,31,Renault,14.0,14.0,75.719,20.4,79.5,986.6,26.7,114,1.5,2,"[4, 31]","['INTERMEDIATE', 'MEDIUM', 'HARD']",0.0,0.0
2020,3,Budapest,70.0,20,RAI,7,Alfa Romeo Racing,20.0,20.0,76.614,20.4,79.5,986.6,26.7,114,1.5,2,"[3, 33]","['INTERMEDIATE', 'MEDIUM', 'HARD']",-5.0,0.0
2020,3,Budapest,70.0,20,GRO,8,Haas F1 Team,0.0,18.0,76.407,20.4,79.5,986.6,26.7,114,1.5,1,[34],"['MEDIUM', 'HARD']",16.0,0.0
2020,3,Budapest,70.0,20,GIO,99,Alfa Romeo Racing,19.0,19.0,76.506,20.4,79.5,986.6,26.7,114,1.5,3,"[4, 20, 40]","['INTERMEDIATE', 'SOFT', 'MEDIUM', 'HARD']",-2.0,0.0
2020,3,Budapest,70.0,20,RUS,63,Williams,12.0,12.0,75.585,20.4,79.5,986.6,26.7,114,1.5,3,"[4, 19, 50]","['INTERMEDIATE', 'SOFT', 'MEDIUM', 'MEDIUM']",6.0,0.0
2020,3,Budapest,70.0,20,LAT,6,Williams,15.0,15.0,76.105,20.4,79.5,986.6,26.7,114,1.5,5,"[3, 4, 31, 39, 52]","['INTERMEDIATE', 'SOFT', 'MEDIUM', 'MEDIUM', 'SOFT', 'HARD']",4.0,0.0
2020,3,Budapest,70.0,20,GAS,10,AlphaTauri,10.0,10.0,75.767,20.4,79.5,986.6,26.7,114,1.5,1,[3],"['INTERMEDIATE', 'SOFT']",10.0,0.0
2020,4,Silverstone,52.0,20,HAM,44,Mercedes,1.0,1.0,85.9,20.8,44.6,998.6,40.7,209,3.2,1,[13],"['MEDIUM', 'HARD']",0.0,25.0
2020,4,Silverstone,52.0,20,VER,33,Red Bull Racing,3.0,3.0,86.115,20.8,44.6,998.6,40.7,209,3.2,2,"[13, 50]","['MEDIUM', 'HARD', 'SOFT']",-1.0,19.0
2020,4,Silverstone,52.0,20,LEC,16,Ferrari,4.0,4.0,86.55,20.8,44.6,998.6,40.7,209,3.2,1,[13],"['MEDIUM', 'HARD']",-1.0,15.0
2020,4,Silverstone,52.0,20,RIC,3,Renault,8.0,8.0,86.677,20.8,44.6,998.6,40.7,209,3.2,1,[12],"['SOFT', 'HARD']",-4.0,12.0
2020,4,Silverstone,52.0,20,NOR,4,McLaren,5.0,5.0,86.855,20.8,44.6,998.6,40.7,209,3.2,1,[12],"['SOFT', 'HARD']",0.0,10.0
2020,4,Silverstone,52.0,20,OCO,31,Renault,9.0,9.0,86.396,20.8,44.6,998.6,40.7,209,3.2,1,[12],"['SOFT', 'HARD']",-3.0,8.0
2020,4,Silverstone,52.0,20,GAS,10,AlphaTauri,11.0,11.0,86.343,20.8,44.6,998.6,40.7,209,3.2,1,[12],"['MEDIUM', 'HARD']",-4.0,6.0
2020,4,Silverstone,52.0,20,ALB,23,Red Bull Racing,12.0,12.0,86.565,20.8,44.6,998.6,40.7,209,3.2,2,"[6, 30]","['MEDIUM', 'HARD', 'MEDIUM']",-4.0,4.0
2020,4,Silverstone,52.0,20,STR,18,Racing Point,6.0,6.0,86.243,20.8,44.6,998.6,40.7,209,3.2,1,[13],"['MEDIUM', 'HARD']",3.0,2.0
2020,4,Silverstone,52.0,20,VET,5,Ferrari,10.0,10.0,86.469,20.8,44.6,998.6,40.7,209,3.2,1,[12],"['SOFT', 'HARD']",0.0,1.0
2020,4,Silverstone,52.0,20,BOT,77,Mercedes,2.0,2.0,85.801,20.8,44.6,998.6,40.7,209,3.2,2,"[13, 50]","['MEDIUM', 'HARD', 'SOFT']",9.0,0.0
2020,4,Silverstone,52.0,20,RUS,63,Williams,20.0,15.0,86.732,20.8,44.6,998.6,40.7,209,3.2,1,[12],"['MEDIUM', 'HARD']",-8.0,0.0
2020,4,Silverstone,52.0,20,SAI,55,McLaren,7.0,7.0,86.715,20.8,44.6,998.6,40.7,209,3.2,2,"[13, 51]","['SOFT', 'HARD', 'MEDIUM']",6.0,0.0
2020,4,Silverstone,52.0,20,GIO,99,Alfa Romeo Racing,15.0,17.0,87.164,20.8,44.6,998.6,40.7,209,3.2,1,[12],"['MEDIUM', 'HARD']",-1.0,0.0
2020,4,Silverstone,52.0,20,LAT,6,Williams,18.0,20.0,87.705,20.8,44.6,998.6,40.7,209,3.2,1,[12],"['MEDIUM', 'HARD']",-3.0,0.0
2020,4,Silverstone,52.0,20,GRO,8,Haas F1 Team,17.0,19.0,87.643,20.8,44.6,998.6,40.7,209,3.2,1,[36],"['MEDIUM', 'HARD']",-1.0,0.0
2020,4,Silverstone,52.0,20,RAI,7,Alfa Romeo Racing,16.0,18.0,87.366,20.8,44.6,998.6,40.7,209,3.2,2,"[12, 47]","['MEDIUM', 'HARD', 'SOFT']",1.0,0.0
2020,5,Silverstone,52.0,20,VER,33,Red Bull Racing,4.0,4.0,87.154,23.7,63.0,1001.4,41.5,5,2.3,2,"[26, 32]","['HARD', 'MEDIUM', 'HARD']",-3.0,25.0
2020,5,Silverstone,52.0,20,HAM,44,Mercedes,2.0,2.0,86.818,23.7,63.0,1001.4,41.5,5,2.3,2,"[14, 41]","['MEDIUM', 'HARD', 'HARD']",0.0,19.0
2020,5,Silverstone,52.0,20,BOT,77,Mercedes,1.0,1.0,86.738,23.7,63.0,1001.4,41.5,5,2.3,2,"[13, 32]","['MEDIUM', 'HARD', 'HARD']",2.0,15.0
